statecode,countyname,bldg_count_Flex,bldg_count_Healthcare,bldg_count_Hospitality,bldg_count_Industrial,bldg_count_Multifamily,bldg_count_Office,bldg_count_Retail,bldg_count_Specialty,bldg_count_Entertainment,area_sum_Flex,area_sum_Healthcare,area_sum_Hospitality,area_sum_Industrial,area_sum_Multifamily,area_sum_Office,area_sum_Retail,area_sum_Specialty,area_sum_Entertainment
KY,Jackson County,0.0,1.0,0.0,1.0,3.0,5.0,25.0,7.0,0.0,0.0,24000.0,0.0,3900.0,149800.0,33300.0,128100.0,71400.0,0.0
KY,Jefferson County,394.0,159.0,129.0,2985.0,2248.0,2468.0,4828.0,797.0,82.0,9025100.0,16299300.0,12752000.0,150143300.0,102538000.0,48349000.0,57140100.0,26342900.0,3758500.0
KY,Jessamine County,35.0,2.0,4.0,215.0,34.0,72.0,228.0,22.0,2.0,353300.0,57900.0,122800.0,3528700.0,1242000.0,801800.0,2992800.0,1330600.0,12900.0
KY,Johnson County,0.0,2.0,0.0,6.0,2.0,7.0,58.0,17.0,0.0,0.0,107300.0,0.0,235700.0,81200.0,37200.0,1675000.0,134200.0,0.0
KY,Kenton County,11.0,19.0,21.0,324.0,384.0,508.0,1025.0,273.0,13.0,273400.0,4275100.0,1819200.0,14625900.0,12436400.0,9120500.0,7918700.0,7928900.0,134800.0
KY,Knott County,0.0,0.0,1.0,1.0,1.0,1.0,12.0,13.0,0.0,0.0,0.0,5400.0,8000.0,50800.0,6500.0,148300.0,23300.0,0.0
KY,Knox County,1.0,0.0,1.0,3.0,9.0,14.0,72.0,3.0,1.0,20600.0,0.0,13100.0,350000.0,264300.0,105800.0,1383000.0,16600.0,50000.0
KY,Larue County,0.0,1.0,0.0,5.0,5.0,6.0,36.0,2.0,0.0,0.0,70000.0,0.0,160800.0,296800.0,15100.0,307400.0,19700.0,0.0
KY,Laurel County,4.0,2.0,9.0,38.0,28.0,66.0,195.0,18.0,1.0,21500.0,347500.0,331400.0,2292800.0,756600.0,496700.0,2694600.0,274700.0,10000.0
KY,Lawrence County,0.0,1.0,3.0,0.0,3.0,7.0,31.0,6.0,0.0,0.0,92300.0,60600.0,0.0,89400.0,32300.0,420100.0,20500.0,0.0
KY,Lee County,0.0,1.0,0.0,1.0,4.0,4.0,11.0,5.0,0.0,0.0,76700.0,0.0,54400.0,175400.0,36900.0,100900.0,121300.0,0.0
KY,Leslie County,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126700.0,24200.0,0.0
KY,Letcher County,0.0,2.0,1.0,2.0,2.0,9.0,49.0,14.0,0.0,0.0,65500.0,200.0,56000.0,130600.0,90500.0,544300.0,52700.0,0.0
KY,Lewis County,0.0,0.0,0.0,0.0,2.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,2857900.0,6400.0,197000.0,3900.0,0.0
KY,Lincoln County,0.0,0.0,1.0,7.0,7.0,8.0,47.0,8.0,0.0,0.0,0.0,9500.0,205500.0,189200.0,67100.0,394200.0,70800.0,0.0
KY,Livingston County,0.0,1.0,2.0,3.0,3.0,4.0,19.0,8.0,0.0,0.0,50300.0,32800.0,11800.0,31400.0,49700.0,95900.0,23600.0,0.0
KY,Logan County,3.0,1.0,2.0,23.0,8.0,10.0,59.0,5.0,1.0,11600.0,159700.0,14600.0,2539900.0,1331100.0,44000.0,903500.0,29900.0,5700.0
KY,Lyon County,2.0,1.0,4.0,14.0,1.0,4.0,30.0,4.0,0.0,187000.0,43200.0,23000.0,454200.0,10000.0,20100.0,271100.0,172500.0,0.0
KY,Madison County,11.0,6.0,15.0,68.0,105.0,129.0,344.0,21.0,2.0,54900.0,532500.0,427800.0,4277400.0,3473600.0,1051500.0,4726800.0,313600.0,11700.0
KY,Magoffin County,0.0,1.0,0.0,2.0,1.0,0.0,25.0,3.0,0.0,0.0,20200.0,0.0,155700.0,11400.0,0.0,233200.0,18500.0,0.0
KY,Marion County,0.0,3.0,1.0,17.0,4.0,6.0,66.0,7.0,1.0,0.0,258200.0,30000.0,931500.0,100200.0,39500.0,1030200.0,33800.0,4000.0
KY,Marshall County,1.0,4.0,6.0,13.0,6.0,11.0,80.0,5.0,1.0,3000.0,64800.0,82200.0,259400.0,147700.0,43700.0,756400.0,37500.0,2100.0
KY,Martin County,0.0,1.0,0.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,30000.0,0.0,14000.0,40000.0,30100.0,126900.0,2100.0,0.0
KY,Mason County,1.0,3.0,3.0,14.0,9.0,20.0,75.0,5.0,1.0,60000.0,281900.0,53100.0,1699600.0,452400.0,169700.0,1371300.0,22600.0,45000.0
KY,McCracken County,4.0,6.0,12.0,92.0,45.0,147.0,369.0,17.0,1.0,59300.0,207100.0,376900.0,2548300.0,3545100.0,1425900.0,7111700.0,149000.0,69500.0
KY,McCreary County,1.0,1.0,3.0,2.0,6.0,2.0,34.0,6.0,0.0,1600.0,23400.0,107200.0,134700.0,146400.0,5000.0,457000.0,19600.0,0.0
KY,McLean County,0.0,1.0,0.0,1.0,3.0,0.0,22.0,4.0,0.0,0.0,30000.0,0.0,32000.0,72500.0,0.0,152800.0,10700.0,0.0
KY,Meade County,0.0,3.0,4.0,10.0,12.0,19.0,76.0,11.0,0.0,0.0,38700.0,57400.0,1622500.0,188700.0,98200.0,569700.0,53400.0,0.0
KY,Menifee County,0.0,1.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,0.0,32400.0,0.0,0.0,23400.0,11600.0,71500.0,6500.0,0.0
KY,Mercer County,6.0,3.0,5.0,28.0,6.0,33.0,147.0,19.0,0.0,718600.0,34700.0,49600.0,1425100.0,215800.0,220700.0,981700.0,311700.0,0.0
KY,Metcalfe County,0.0,1.0,0.0,5.0,5.0,1.0,16.0,6.0,0.0,0.0,38700.0,0.0,916600.0,117500.0,1100.0,163700.0,28500.0,0.0
KY,Monroe County,1.0,1.0,0.0,4.0,3.0,2.0,21.0,3.0,0.0,1800.0,30300.0,0.0,465400.0,107400.0,12500.0,260800.0,14500.0,0.0
KY,Montgomery County,1.0,1.0,2.0,43.0,12.0,29.0,117.0,10.0,0.0,22900.0,72400.0,47700.0,2432400.0,368800.0,156100.0,1574500.0,154800.0,0.0
KY,Morgan County,1.0,0.0,1.0,0.0,2.0,2.0,19.0,9.0,0.0,24600.0,0.0,100.0,0.0,50100.0,18100.0,181800.0,63300.0,0.0
KY,Muhlenberg County,1.0,2.0,3.0,6.0,3.0,14.0,63.0,15.0,0.0,1300.0,63200.0,63300.0,478500.0,177200.0,105900.0,898300.0,68300.0,0.0
KY,Nelson County,1.0,5.0,8.0,81.0,21.0,103.0,221.0,32.0,2.0,20000.0,184700.0,230000.0,3620700.0,461100.0,694100.0,2155500.0,299500.0,41400.0
KY,Nicholas County,0.0,1.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,60000.0,0.0,174300.0,62300.0,0.0,44700.0,8200.0,0.0
